Sample,Lab,y,x,19,20,21,22,23,24,25,26,27,28,29,30,31,32,OL,GA
0,Lab_2,380,590,20.76348605,13.94736292,1.952258532,16.48610137,0,4.700926887,0,22.17007909,9.838301624,0,9.655031573,4.117457003,1.156801196,25.92684372,6.734488332,4.471749265
1,Lab_1,140,470,118.6433609,130.7168329,1152.23483,0,0,97.19052005,183.2752602,172.6169868,74.5135548,227.6258925,85.24175771,23.85117235,0,200.715642,75.29034221,0
2,Lab_1,350,440,123.998274,119.1865704,0,157.3294876,9.41653378,66.11513311,116.153357,141.5700684,0,195.4063129,51.6250435,19.93538176,57.20372742,0,42.26200985,33.35235445
3,Lab_2,790,160,13.7538474,18.59986903,1555.472651,9.205427441,7.676029716,23.36945993,18.86140087,0,6.889720955,18.95926312,6.30805711,8.018402196,0,18.181328,5.072129996,15.63560284
4,Lab_3,240,600,22.14371239,20.54871436,5.660627967,21.59033005,7.199149193,16.22122777,28.28198262,24.30961231,7.921878944,31.26692842,15.36656143,6.013448558,5,25.82453728,17.89701384,7.305631918
5,Lab_1,720,320,47.03491978,65.84852314,102.6931863,37.23966893,36.6790319,97.38395053,80.35949121,25.32783577,10.89941949,63.97048414,18.78596095,58.1810241,65.55381914,95.13624492,5.902988788,62.72762237
6,Lab_3,180,690,25.0587207,17.99974594,4,24.58383852,5.418988164,10.42630302,0,22.63983365,16.47220613,33.1543831,13.25497334,4,0,25.39278233,9.332513092,9.68728905
7,Lab_3,650,370,16.75326823,16.44093321,1744.221697,10.45749877,11.33476467,0,26.11889861,5.835664416,9.000856804,19.52801968,11.15981528,16.73853748,0,22.77113148,11.3109179,0
8,Lab_3,570,360,16.94403374,22.89782462,29.19963753,12.62207665,15.85869297,27.44960708,28.10504584,5,15.76132578,22.0234655,11.64443557,19.54954002,0,20.07044939,14.4997814,23.37085684
9,Lab_2,150,460,12.96467647,13.59043124,1.949139916,16.93617645,0.390091011,5.109251628,18.86885716,14.06808562,5.950013049,24.48542494,7.366157479,3.782104693,5.00137377,25.82942879,2.955839559,5.706641738
10,Lab_3,650,650,0,0,4.236353554,0,0,8.717324772,24.0789554,16.95689015,6.264964699,28.18070642,10.73474908,3.502946376,2,25.02062507,2.810972874,0
11,Lab_1,310,560,38.58439296,48.8332254,0,49.77977827,0.581211163,13.45218295,0,71.51962823,25.2959467,68.69336354,31.30933316,10.89918693,0.298183653,75.27792579,22.3325633,17.9569951
12,Lab_3,630,320,15.36045429,19.45240671,27.30578909,10.58541148,11.38309029,24.22759468,27.10359058,2,0,17.88071042,14.56831199,10.55916477,41.20250203,7.170597991,8.565556305,16.09218558
13,Lab_3,470,400,14.65774995,0,26.66998548,11.42616964,0,0,25.07660123,4.527466362,11.9166123,0,12.25871793,8.448021327,36.20313933,20.82384694,16.99724521,16.99646178
14,Lab_2,370,190,13.19911279,12.8425976,4.898782672,12.65814177,0,6.427999432,15.18501825,21.56248875,10.8066362,21.48432944,6.451826655,0,0,21.09963462,8.696879823,5.651449985
15,Lab_3,770,300,15.48664926,16.99624691,25.79574069,0,0,26.52576996,22.82356309,5.26768432,10.41281625,20.97427394,13.77780638,0,21.6798811,14.19843033,18.57752314,10.96971193
16,Lab_1,100,330,83.6178786,150.5616312,69.58716641,0,12.63254317,83.84285151,0,242.9904086,85.2975128,317.3057499,77.58466573,0,12.68192863,293.0522037,64.20132048,89.58231357
17,Lab_1,540,400,46.67537579,48.09498872,0,26.8170218,28.45265051,0,0,0,33.65239422,52.56910616,16.29973706,0,54.67762958,67.19999582,13.13698199,47.33314396
18,Lab_1,320,140,146.768269,168.0886612,0,0,0,80.08992152,207.8192445,249.3001856,139.605315,245.1614233,91.67425124,0,2.28245254,285.7387318,33.21670257,29.4908405
19,Lab_1,640,230,29.65853277,44.43206948,1160.511046,28.24866156,29.53653369,66.5685916,77.67348679,14.39197931,26.44166419,54.15867706,25.65783316,20.00747047,53.7426241,30.42001329,0,39.46388622
20,Lab_3,320,120,20.18772262,0,7.400870066,18.97682398,4,11.42769429,20.64324825,20.78881896,7.824807367,28.05983814,14.04533191,0,8.365438593,25.37164255,5.605772029,8.472558658
21,Lab_2,520,700,0,14.20452262,0,13.3603596,0,7.601260919,8.368584868,0,5.64978976,26.98228877,7.018456731,5.923763,7.600859835,24.03257661,8.148188173,6.308991505
22,Lab_2,110,320,19.66088532,16.78024515,0.45292581,17.52203263,1.421439051,6.816545152,23.29775056,19.21541332,4.934607895,26.86237985,3.276432587,0,0,0,1.891233838,4.645374927
23,Lab_2,70,450,0,13.94727263,1728.149211,13.95742009,0,11.72077419,23.59576537,0,6.006423581,23.27641599,8.325746404,6.094469267,15.40202433,21.25707535,1.396853132,4.589577827
24,Lab_1,480,230,120.7545166,143.2185917,26.03188894,149.2243003,9.626390973,81.16264143,198.8965108,211.4557405,0,188.4807339,70.45070978,40.48018383,6.578811666,262.3279929,0,0
25,Lab_3,110,330,19.06276103,20.27855523,0,20.6404714,8.802925754,15.67851273,26.60961341,31.57890911,11.42336389,29.83186125,14.85578736,6.065415514,7.104108521,32.70371815,0,9.051540304
26,Lab_3,310,130,22.95909951,21.00611393,5,24.63094143,5,10.69115261,23.442914,19.72021018,12.87531583,29.89989767,11.40302492,7.246545936,10.6439676,28.04459498,11.51479941,8.84434865
27,Lab_2,130,420,16.43946696,15.02202919,1.538927477,19.53001674,4.986144464,6.659877657,18.39832714,17.28431521,4.544869097,23.99602025,10.55881878,9.526857247,6.313913118,24.44243436,0,2.50627731
28,Lab_1,290,90,165.3913175,149.6984302,77.72755627,176.7225272,14.10683708,79.8647124,169.645652,184.4710303,81.75568343,227.1578818,48.37279952,0,98.23197042,184.0291908,0,45.06313831
29,Lab_3,240,610,19.77439255,20.71839302,7.198235397,22.92488472,4,10.9860379,22.55659003,21.52922792,15.06858664,28.74037016,12.6149015,4.877585691,14.32950138,24.78196933,13.04368516,8.711141668
30,Lab_2,250,650,18.78368675,13.70674294,1.54190744,0,0.401585648,8.135116524,19.79091848,17.6649574,5.189915068,24.17606074,6.476664185,1.827886393,7.592149151,23.25069445,0.313253517,4.444913065
31,Lab_3,750,210,13.96263192,18.71345872,28.10019986,13.17239355,13.32280886,26.75666309,27.07484993,0,12.01885568,19.87652767,0,0,30.55111013,19.36963066,9.457259443,23.52728253
32,Lab_2,790,720,21.18352099,17.01274503,1.086458259,19.44723645,3.462894446,14.0740524,6.473461911,0,11.29936112,7.906136898,14.91347724,17.70915113,10.64173395,19.828751,24.26763491,0
33,Lab_3,140,460,19.07965929,18.11545848,0,0,3.360488419,0,18.27090358,23.01849145,8.702421821,29.18587319,10.35959449,6.560141217,3,31.92810869,9.03991443,7.10989383
34,Lab_3,670,280,18.3700198,24.79445905,1439.60506,14.57908607,13.13362954,28.29452445,26.08049543,8.716766234,11.31723471,0,13.18178135,19.20031054,22.20163232,18.7294092,5.911034384,16.34099552
35,Lab_2,700,790,24.976341,12.95720797,1592.664424,17.43932553,0,24.18976967,0,21.4418599,13.24893366,13.86094045,11.51479063,12.65697136,27.71337145,28.25018036,23.64003566,0
36,Lab_2,580,290,13.05757722,13.88294195,24.12599874,6.576555119,10.69401032,23.94269321,25.46370507,10.38399006,6.927565878,19.64900476,6.053595301,0,35.52838089,10.66537146,12.00916828,19.42836046
37,Lab_1,680,280,0,152.0265165,249.534152,57.79436379,114.1119858,0,242.7891587,0,84.73534518,203.7664613,112.0176262,0,280.2969,226.3795424,61.05191293,61.66141074
38,Lab_2,150,470,0,13.42270282,2.365664466,17.9027888,0,5.513752819,16.86391609,23.31905576,10.30431445,29.39428251,8.535559017,0,0,0,3.380950149,6.54607607
39,Lab_2,120,330,18.32932587,12.9142708,0,13.36386805,1.047697582,5.355048505,20.80305735,19.71156764,1.749578291,24.32133831,6.072800042,6.645894819,0,22.57763463,8.541512507,5.94500795
40,Lab_2,120,320,10.0702231,14.10323756,2.523987761,16.64855275,0.491942082,6.241040112,16.41994889,20.74728555,10.24293701,21.46147532,11.68139963,9.132656099,0,0,10.9138032,6.306560809
41,Lab_3,390,50,16.69123887,19.02975296,6.787886968,21.73910365,5.140524596,8.710599689,20.88715113,23.23399749,7.130665684,0,14.05477474,0,3,30.75371921,13.96295122,9.272230877
42,Lab_3,260,690,20.43225376,16.99442897,3,23.15989967,4.868871796,12.21365755,20.329604,26.48831962,8.772984993,29.02295466,10.90390054,3,3,0,10.09665879,6.940689681
43,Lab_1,710,550,175.9936403,0,17.45518317,0,0,87.21165167,233.695172,231.4632012,152.4794226,360.174141,0,36.69357812,33.62830329,379.5103114,25.9614578,54.83317762
44,Lab_2,390,60,11.93949713,16.44309675,0,19.97565681,1.777987239,0,17.80060037,0,0,0,6.049108092,5.623231359,0.90790091,22.66952172,5.644432256,5.681712728
45,Lab_3,520,340,17.49240204,22.49590946,29.41782807,13.58732733,13.66690204,25.55882597,0,9.881704172,12.97069367,23.08693964,0,7.829620878,6.402488244,19.12114385,4,17.66343247
46,Lab_2,740,260,13.8586007,13.59036958,1337.967201,5.909756218,7.235033415,0,24.22215332,6.190415347,8.588264232,0,6.198049138,15.03845928,10.97950629,8.541087434,0,9.675245686
47,Lab_1,400,60,0,175.3192444,0,282.4746121,0,72.96647187,263.1231647,265.2218591,49.43066513,356.6629158,110.423857,113.1451453,126.3092056,286.5679861,0,61.46298904
48,Lab_3,310,120,18.26844385,16.3976686,0,19.05819908,2,8.760909683,24.54807986,18.93472392,4.552841248,25.20903492,9.34176905,6.865423425,10.28185786,17.60075684,2.642328889,5.097796583
49,Lab_2,760,220,17.00466193,14.9845483,25.60356058,7.715940328,10.88533679,22.40931148,0,0,7.870911597,17.31545928,0,12.43958944,36.24152037,13.23615524,4.729117422,8.524860096
50,Lab_3,100,480,16.27617086,15.72907016,1395.717099,18.63814365,2,7.625798592,19.96194291,14.99747558,0,26.37885881,9.592838336,2,2,22.34160918,8.105863594,5.645279498
51,Lab_2,570,290,11.29194074,0,24.6012166,7.151188858,11.9665508,23.79109073,0,4.52973584,8.949370624,16.93934076,5.713346379,14.63714012,43.02897161,13.85879606,14.78892902,15.82749481
52,Lab_1,100,790,182.2756089,148.5376071,46.02435363,200.4275984,20.46891595,100.9705084,147.2472064,165.3464179,122.1801693,240.8763577,56.23641785,20.89971168,41.60680501,252.5521774,56.86503917,32.28978384
53,Lab_3,540,410,14.27669937,21.07504048,27.70610456,15.26837441,12.19579612,28.51588788,30.51236597,5.666414516,8.763130194,23.06398188,10.79630729,8.850276259,0,18.45775749,18.58088364,15.00681419
54,Lab_1,510,690,108.2849323,107.7791898,22.09110845,126.6229864,0,21.8722717,166.8156259,100.2098633,60.66006189,0,0,0,17.6322497,0,18.06854655,36.9826102
55,Lab_1,300,120,100.4152366,76.44028906,9.228582267,111.5603084,0.485879477,13.08035538,96.8776846,89.90131422,49.05710945,137.6392599,31.27655588,23.6707634,14.47266419,95.64154462,18.79645998,25.68482109
56,Lab_1,570,60,41.09601301,56.94141955,3.236455101,45.39008699,0,13.57610137,85.66242598,82.25473023,3.44115227,94.01866645,28.73884261,0,1.040836801,91.64267831,24.36785446,30.73524098
57,Lab_2,400,50,12.59024375,14.6054087,0,16.67674958,0,9.749793125,20.61971729,14.86987633,0,21.09614097,6.894771135,3.112670442,3.770290224,24.74041055,7.809233829,6.2662001
58,Lab_1,470,390,116.6160769,155.6210939,263.5586596,98.30982115,133.8259595,263.4989518,233.6419565,26.16104602,92.15565262,177.0757016,0,76.6595817,280.5625804,133.6951707,223.9219671,197.7374421
59,Lab_1,630,310,123.5492791,147.5973525,1736.42784,95.7829717,90.2200522,229.7110582,243.4474371,62.79517962,94.11087195,158.6395128,82.12831366,43.460254,232.8525878,87.83480153,93.82977805,145.8785797
60,Lab_1,40,110,85.42845012,0,167.3656983,84.09734821,74.06198453,174.8628679,146.7218317,0,44.09688559,119.3145294,50.13933625,81.16140979,113.5832035,114.2545813,30.45592572,0
61,Lab_1,310,570,51.54683731,44.25894831,1560.04289,61.10646757,0,21.37949285,49.18765161,60.73129946,30.85264243,74.47367817,30.70561892,0,0,73.90152435,20.37414183,13.31593931
62,Lab_1,90,790,206.230189,0,1550.514466,300.249803,0,13.30094237,246.7411368,0,23.45308015,274.4734624,132.2135122,0,55.0784525,276.4980996,0,52.62380608
63,Lab_2,670,270,11.51575718,0,24.01021851,6.011780851,11.67774986,21.84971078,25.71354179,0,11.25891781,16.3270795,11.96041516,16.52850877,34.97965453,16.29488544,13.38077541,15.8285079
64,Lab_3,550,400,16.13201624,22.82003757,0,14.64000979,15.62285514,29.17607784,28.78464325,14.79385695,11.55570867,19.80279503,9.807825222,0,28.95917754,23.45054754,17.13851188,16.6363257
65,Lab_2,90,780,22.68988896,14.95974391,3.992719116,19.92685614,0,7.253899024,14.72549801,23.99854654,8.031529748,24.2893624,8.819955159,0.702909302,4.341374013,19.13366609,7.886805884,6.422504912
66,Lab_2,110,130,12.51504474,0,25.2116905,6.714667395,11.11549733,22.98586929,0,0.528415241,9.739821642,0,8.456957867,0.462724317,27.28458866,15.51131987,0,7.132348437
67,Lab_1,520,690,205.4115512,171.5413164,47.69481652,241.6358855,38.0306164,41.93012494,250.1760395,225.511621,24.47615411,283.4225627,110.1860376,0,0,381.8477566,141.2044814,44.62420842
68,Lab_1,370,200,276.7427295,190.0024424,0,291.0643979,0,0,294.2316385,314.8206998,110.3904811,352.3608473,135.2808127,0,102.5870241,309.1748727,94.33577929,57.75086689
69,Lab_3,350,70,13.93306444,17.02552803,2.91227049,21.52079072,2,9.036232286,21.62121481,24.65280403,8.968562825,29.03452546,8.781099566,6.551486247,2,23.2623682,5.514972726,6.385117141
70,Lab_1,320,130,120.5439921,184.207168,53.17054082,294.0118737,17.31193205,0,212.4232072,244.322632,210.3887895,262.7800009,110.5008731,5.399759038,33.36276233,0,101.1075416,68.05458061
71,Lab_1,680,270,86.00953759,139.3818635,1963.937864,59.47284827,0,196.9200307,223.1251396,15.14650514,56.33256922,134.384021,104.9077362,145.7655985,174.9613977,0,48.65606454,81.01310506
72,Lab_3,300,130,21.20342832,19.81078708,11.30335165,16.76842735,5,14.02498036,23.68900884,18.70836659,16.31400566,28.3757762,13.36965193,14.9461088,5,28.44353988,6.668782494,10.38976836
73,Lab_1,200,40,86.43940503,0,11.13486818,127.8816821,4.124795498,69.26690905,93.39843028,0,80.32946161,139.1964287,58.89371299,11.61209269,0,208.7516795,23.65035765,34.99422568
74,Lab_2,320,560,0,13.5831564,0,20.61842313,1.497849321,5.992845681,0,13.64254677,6.726920367,25.2545977,6.277063536,0,0,23.25009066,0,2.760091823
75,Lab_1,20,90,146.082581,204.5350552,303.4320922,149.9479839,142.6030835,305.7254915,0,0,72.85988731,216.9689902,49.30739713,116.6155868,0,208.9201953,193.172602,181.2697058
76,Lab_2,520,330,12.58667917,17.27131973,24.08163235,0,11.39715634,21.89121927,29.20587358,5.402951291,11.80579292,16.58933756,12.28995975,0,36.69156798,9.272200841,14.40400734,17.87515826
77,Lab_1,120,420,227.2162878,191.2088678,59.78765955,277.8558399,0,128.998783,254.3345728,237.0377469,0,0,108.2713553,0,78.6132962,297.7208926,135.1991961,65.28655066
78,Lab_1,760,770,196.2780804,160.9374486,0,151.527787,30.27214048,0,15.43266553,204.3621166,109.6886289,62.67420632,163.3087835,198.6541878,139.2811917,191.8325339,177.3233127,0
79,Lab_1,510,700,118.6433609,130.7168329,1152.23483,0,0,97.19052005,183.2752602,172.6169868,74.5135548,227.6258925,85.24175771,23.85117235,0,200.715642,75.29034221,0
